,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
9529,Very High,USA,M,15,E,DBA,N,5,,1,,PB,,,30.0,Associates (2 years),Yes,N,50.0,zero
9530,Low,USA,O,5,EC,AN,N,2,,6,,PB,,,15.0,Bachelors (4 years),Yes,N,40.0,zero
9531,Mid,Canada,M,8,EC,DBA,N,8,,2,,PB,,,50.0,Bachelors (4 years),Yes,YesExpired,37.0,zero
9532,Very High,USA,M,21,E,A,Y,21,,2,,PB,,,50.0,Masters,Yes,YesValid,40.0,five
9533,High,USA,M,16,E,DBA,Y,2,,0,,PB,,,12.0,None (no degree completed),,YesExpired,40.0,zero
9534,Very High,USA,M,17,E,M,Y,8,,0,,PB,,,30.0,None (no degree completed),,YesExpired,40.0,two
9535,Very High,USA,M,10,E,M,Y,15,,0,,PB,,,3.0,Bachelors (4 years),Yes,N,40.0,zero
9536,Very High,USA,M,25,E,M,Y,5,,0,,PB,,,100.0,Masters,Yes,YesValid,45.0,five
9537,High,USA,M,10,E,E,N,1,,1,,PB,,,20.0,Bachelors (4 years),Yes,YesExpired,45.0,one
9538,Mid,USA,M,7,E,DA,N,7,,5,,PB,,,3.0,Bachelors (4 years),No,N,45.0,zero
9539,Mid,USA,M,2,E,,N,25,,1,,PB,,,50.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
9540,Mid,USA,M,15,E,DBA,N,15,,0,,PB,,,1000.0,None (no degree completed),,YesExpired,50.0,zero
9541,Very Low,USA,M,5,E,,N,5,,1,,SG,,,7.0,Bachelors (4 years),No,YesValid,40.0,zero
9542,Low,USA,M,2,E,,N,2,,1,,PB,,,12.0,None (no degree completed),,YesExpired,50.0,zero
9543,High,USA,M,4,E,M,Y,3,,3,,PB,,,50.0,None (no degree completed),,N,60.0,one
9544,Mid,USA,M,9,E,DT,N,3,,4,,PB,,,30.0,Bachelors (4 years),No,N,45.0,five
9545,High,USA,M,13,E,DBA,Y,4,,2,,PB,,,20.0,Bachelors (4 years),No,YesExpired,40.0,four
9546,High,USA,M,7,E,DBA,Y,4,,0,,PB,,,70.0,Bachelors (4 years),Yes,YesValid,150.0,two
9547,High,USA,M,17,E,DT,N,17,,1,,PB,,,5.0,Bachelors (4 years),No,YesExpired,40.0,five
9548,Mid,USA,M,17,E,M,Y,12,,6,,SG,,,6.0,Masters,Yes,N,50.0,five
9549,Very Low,Canada,M,10,E,AN,N,3,,3,,FG,,,6.0,Bachelors (4 years),,N,40.0,two
9550,Very Low,India,M,6,E,DBA,N,3,,6,,PB,,,40000.0,Bachelors (4 years),No,YesValid,45.0,one
9551,High,USA,M,15,E,DBA,N,10,,3,,LG,,,350.0,Masters,No,YesExpired,42.0,one
9552,Low,USA,M,22,E,M,Y,6,,5,,SG,,,25.0,Masters,Yes,YesValid,50.0,zero
9553,High,USA,M,15,E,DBA,N,3,,4,,PB,,,500.0,Masters,Yes,YesValid,55.0,five
9554,Very High,USA,M,12,EC,A,Y,7,,0,,PB,,,5.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9555,Very High,USA,M,8,E,A,Y,2,,1,,PB,,,5.0,Masters,Yes,YesValid,40.0,zero
9556,Mid,USA,M,8,E,DA,N,8,,1,,PB,,,8.0,Associates (2 years),,N,45.0,zero
9557,Mid,USA,O,18,E,DBA,N,18,,5,,SG,,,50.0,Bachelors (4 years),Yes,YesValid,50.0,zero
9558,Low,USA,M,3,E,DBA,Y,3,,2,,PB,,,50.0,Bachelors (4 years),Yes,YesExpired,42.0,five
9559,Low,USA,M,4,E,DBA,N,4,,2,,SG,,,50.0,Bachelors (4 years),Yes,N,40.0,one
9560,Low,USA,M,11,E,DBA,N,2,,0,,PB,,,5.0,None (no degree completed),,YesExpired,40.0,one
9561,Low,USA,M,6,E,DT,N,6,,2,,SG,,,7.0,Associates (2 years),Yes,N,40.0,one
9562,Very High,USA,M,16,E,DBA,N,16,,0,,PB,,,30.0,Bachelors (4 years),Yes,N,50.0,zero
9563,Low,USA,M,7,E,DBA,N,7,,4,,SG,,,45.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9564,High,USA,M,10,E,DBA,N,10,,0,,PB,,,5.0,Associates (2 years),Yes,YesExpired,40.0,zero
9565,Very High,USA,C,4,E,DBA,N,20,,0,,PB,,,20.0,None (no degree completed),,YesValid,50.0,zero
9566,Very Low,Germany,M,6,E,,N,5,,0,,PB,,,20.0,None (no degree completed),,N,45.0,zero
9567,Very Low,USA,M,15,E,,N,25,,0,,PB,,,5.0,Masters,No,N,40.0,two
9568,Very Low,Sweden,M,6,E,DBA,N,6,,2,,SG,,,100.0,None (no degree completed),,N,40.0,zero
9569,Low,USA,M,5,E,DA,N,5,,1,,PB,,,4.0,Bachelors (4 years),Yes,N,40.0,zero
9570,High,USA,M,10,EC,DBA,Y,9,,6,,PB,,,100.0,Bachelors (4 years),Yes,YesValid,40.0,four
9571,High,USA,M,6,E,A,Y,1,,1,,PB,,,3.0,Masters,Yes,YesValid,40.0,zero
9572,Mid,USA,M,10,E,DBA,N,4,,6,,PB,,,1000.0,Bachelors (4 years),,N,40.0,one
9573,Very Low,UK,M,7,E,DBA,N,2,,0,,PB,,,10.0,Bachelors (4 years),Yes,YesExpired,38.0,zero
9574,Low,USA,M,3,E,DA,N,3,,5,,PB,,,5.0,Bachelors (4 years),Yes,N,45.0,zero
9575,Low,USA,M,7,E,DBA,N,1,,0,,PB,,,10.0,Masters,No,YesValid,40.0,zero
9576,Very Low,India,M,8,E,DBA,Y,8,,6,,PB,,,2000.0,Masters,Yes,YesExpired,60.0,zero
9577,Low,USA,M,16,E,M,Y,2,,3,,PB,,,20.0,Associates (2 years),No,N,45.0,zero
9578,Very High,USA,M,16,E,DBA,N,10,,1,,PB,,,60.0,Associates (2 years),No,YesExpired,40.0,three
9579,Very High,USA,M,22,E,DBA,Y,3,,4,,PB,,,60.0,None (no degree completed),,YesExpired,50.0,zero
9580,Mid,USA,M,6,E,E,N,4,,3,,PB,,,100.0,Bachelors (4 years),No,N,55.0,one
9581,Mid,USA,M,19,E,DBA,N,19,,1,,PB,,,125.0,None (no degree completed),,N,45.0,zero
9582,Mid,USA,M,10,E,DBA,N,10,,2,,SG,,,66.0,Masters,Yes,YesValid,44.0,zero
9583,Very Low,Germany,M,3,E,DBA,N,3,,1,,PB,,,3.0,None (no degree completed),,N,40.0,five
9584,Low,USA,M,5,E,D,N,5,,6,,PB,,,3.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9585,High,USA,O,11,E,DBA,N,5,,6,,PB,,,40.0,Bachelors (4 years),Yes,YesValid,45.0,zero
9586,Low,USA,M,4,E,DA,N,4,,0,,PB,,,20.0,Masters,Yes,N,37.0,one
9587,Very High,USA,M,12,E,DBA,N,2,,6,,PB,,,2000.0,Masters,Yes,YesValid,35.0,two
9588,Mid,USA,M,20,E,AN,N,20,,6,,PB,,,20.0,Bachelors (4 years),No,YesValid,50.0,zero
9589,Very High,USA,M,20,E,A,N,3,,6,,PB,,,15.0,Masters,No,N,48.0,three
9590,High,USA,M,10,E,E,N,2,,0,,PB,,,32.0,Masters,Yes,N,45.0,zero
9591,Low,UK,M,6,EC,D,Y,1,,6,,PB,,,0.0,Masters,No,YesValid,60.0,five
9592,Mid,USA,M,13,E,DBA,N,6,,0,,PB,,,15.0,Bachelors (4 years),Yes,N,45.0,zero
9593,Very Low,Austria,M,8,E,DT,N,8,,0,,PB,,,30.0,Associates (2 years),Yes,N,45.0,zero
9594,Very High,USA,M,15,E,M,Y,20,,0,,PB,,,15.0,None (no degree completed),No,N,60.0,zero
9595,High,USA,M,6,E,DBA,N,6,,4,,PB,,,50.0,Associates (2 years),No,N,45.0,zero
9596,Very High,USA,M,14,E,DA,N,25,,2,,PB,,,2.0,Masters,Yes,N,40.0,zero
9597,Low,UK,M,15,E,DBA,N,4,,0,,PB,,,50.0,None (no degree completed),,YesValid,40.0,one
9598,Very Low,Nicaragua,M,7,E,DBA,N,8,,4,,LG,,,30.0,Masters,Yes,YesValid,40.0,zero
9599,High,USA,M,23,E,DBA,Y,17,,2,,PB,,,55.0,Bachelors (4 years),No,N,50.0,three
9600,High,USA,M,14,E,DBA,N,2,,0,,PB,,,5.0,Bachelors (4 years),Yes,N,40.0,zero
9601,High,UK,M,10,I,DBA,N,1,,6,,PB,,,100.0,Bachelors (4 years),No,YesExpired,40.0,two
9602,Very Low,Canada,M,2,E,DA,N,2,,1,,PB,,,1.0,Associates (2 years),Yes,YesValid,40.0,zero
9603,Very High,USA,M,18,E,A,Y,8,,0,,PB,,,15.0,Bachelors (4 years),Yes,N,40.0,one
9604,Mid,USA,M,5,E,DBA,N,5,,0,,PB,,,12.0,Masters,No,N,40.0,one
9605,Low,USA,M,7,E,M,Y,7,,0,,LG,,,7.0,Masters,Yes,YesValid,50.0,zero
9606,Mid,USA,M,10,E,DBA,N,2,,1,,PB,,,50.0,None (no degree completed),,N,40.0,one
9607,High,USA,M,12,E,DA,N,4,,6,,PB,,,3.0,Masters,Yes,N,45.0,zero
9608,Very High,USA,M,17,E,AN,N,5,,0,,PB,,,5.0,Masters,Yes,N,45.0,zero
9609,Very Low,India,MS,5,E,DBA,N,5,,6,,PB,,,3000.0,Masters,No,YesValid,40.0,five
9610,Very Low,India,M,10,E,A,Y,5,,4,,PB,,,150.0,Bachelors (4 years),No,YesExpired,45.0,two
9611,Very High,USA,M,4,E,M,Y,6,,0,,PB,,,2.0,Masters,No,YesValid,90.0,two
9612,Very Low,Brazil,M,5,E,DBA,N,5,,0,,FG,,,4.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9613,Very Low,Moldova,M,4,E,DBA,Y,1,,0,,PB,,,15.0,Bachelors (4 years),Yes,N,8.0,one
9614,Mid,USA,M,15,E,DBA,N,7,,0,,PB,,,5.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9615,Very Low,USA,M,5,E,D,N,2,,0,,PB,,,2.0,Masters,Yes,YesValid,40.0,zero
9616,Mid,USA,M,9,E,M,Y,5,,0,,PB,,,6.0,Bachelors (4 years),Yes,N,40.0,zero
9617,Mid,USA,M,15,E,M,Y,6,,0,,LG,,,5.0,Masters,Yes,N,50.0,zero
9618,Very High,USA,M,15,E,DBA,N,15,,1,,PB,,,30.0,Masters,Yes,YesExpired,40.0,one
9619,Very Low,Brazil,O,3,E,DBA,N,3,,6,,PB,,,50.0,Masters,Yes,YesValid,45.0,one
9620,High,USA,M,14,E,DBA,N,10,,0,,SG,,,15.0,Masters,No,YesValid,40.0,two
9621,Very Low,UK,M,3,E,DBA,N,2,,1,,PB,,,100.0,Bachelors (4 years),Yes,YesExpired,37.0,zero
9622,Very High,USA,T,4,E,A,N,4,,0,,PB,,,5000.0,Associates (2 years),Yes,N,45.0,zero
9623,High,USA,M,10,E,DBA,N,2,,1,,PB,,,120.0,None (no degree completed),,N,40.0,one
9624,Very Low,UK,M,15,E,AN,N,10,,0,,LG,,,21.0,Bachelors (4 years),Yes,N,37.0,zero
9625,Low,USA,M,14,E,DBA,N,3,,0,,PB,,,6.0,Bachelors (4 years),Yes,N,42.0,zero
9626,Low,USA,T,5,E,D,Y,6,,0,,PB,,,1000.0,Bachelors (4 years),No,N,40.0,zero
9627,Very High,USA,M,18,E,DA,Y,1,,0,,LG,,,4.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9628,Very Low,UK,M,4,E,DBA,N,4,,0,,PB,,,126.0,Associates (2 years),,YesExpired,45.0,zero
9629,Low,UK,M,15,EC,A,N,5,,1,,PB,,,0.0,Masters,Yes,YesExpired,50.0,zero
9630,Mid,Canada,O,22,E,DBA,N,22,,1,,LG,,,40.0,Bachelors (4 years),Yes,N,35.0,zero
9631,Very High,USA,M,20,E,A,Y,6,,0,,PB,,,9.0,Masters,No,N,44.0,zero
9632,Mid,UK,M,15,E,DBA,N,1,,0,,PB,,,3.0,Masters,Yes,YesExpired,37.0,zero
9633,High,USA,M,11,E,DT,N,3,,3,,PB,,,18.0,Bachelors (4 years),No,N,40.0,zero
9634,Low,USA,M,10,E,E,N,5,,0,,PB,,,6.0,Bachelors (4 years),No,YesValid,45.0,zero
9635,Low,USA,M,4,E,AN,N,3,,0,,PB,,,55.0,Masters,Yes,YesValid,45.0,zero
9636,Very High,USA,M,25,E,A,N,15,,0,,PB,,,100.0,Bachelors (4 years),Yes,N,35.0,zero
9637,Mid,USA,M,9,E,DT,N,9,,2,,PB,,,5.0,Bachelors (4 years),Yes,N,40.0,zero
9638,Very Low,PuertoRico,M,2,E,AN,N,2,,3,,PB,,,30.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9639,High,USA,M,18,E,DBA,Y,3,,0,,PB,,,30.0,Associates (2 years),,YesExpired,50.0,one
9640,Low,USA,M,10,E,D,N,10,,0,,PB,,,3.0,Bachelors (4 years),No,N,40.0,five
9641,Very High,USA,A,1,E,E,N,8,,0,,PB,,,3.0,Bachelors (4 years),No,YesExpired,40.0,one
9642,Mid,USA,M,7,E,D,N,15,,0,,PB,,,10.0,Bachelors (4 years),Yes,YesValid,50.0,zero
9643,Mid,USA,O,14,E,DBA,N,12,,0,,PB,,,100.0,Bachelors (4 years),No,N,42.0,zero
9644,Very High,USA,M,18,E,DBA,N,12,,1,,PB,,,20.0,Masters,Yes,N,40.0,one
9645,Very High,USA,M,20,E,E,N,8,,6,,PB,,,100.0,Bachelors (4 years),No,YesExpired,50.0,five
9646,Very High,USA,M,15,E,DBA,N,15,,1,,LG,,,3.0,Masters,Yes,YesValid,40.0,zero
9647,Low,USA,M,5,E,DBA,N,1,,0,,PB,,,70.0,Bachelors (4 years),Yes,N,40.0,zero
9648,Mid,USA,M,20,EC,DT,N,0,,0,,PB,,,20.0,Bachelors (4 years),Yes,N,45.0,five
9649,High,USA,M,21,E,DBA,N,12,,4,,PB,,,100.0,Associates (2 years),Yes,N,45.0,zero
9650,High,USA,M,10,E,M,Y,4,,5,,PB,,,75.0,Masters,Yes,N,50.0,zero
9651,Mid,USA,M,20,E,DT,N,2,,3,,PB,,,20.0,Bachelors (4 years),Yes,YesExpired,40.0,one
9652,Very High,USA,M,15,E,DT,N,1,,3,,PB,,,30.0,Masters,Yes,YesValid,40.0,zero
9653,Very Low,Spain,M,6,E,E,Y,12,,0,,PB,,,3.0,Associates (2 years),Yes,YesExpired,50.0,five
9654,Very Low,Spain,M,5,E,DBA,N,2,,2,,PB,,,4.0,Associates (2 years),Yes,N,40.0,zero
9655,Very Low,USA,M,10,E,DA,N,20,,5,,PB,,,15.0,Bachelors (4 years),Yes,N,45.0,zero
9656,Mid,USA,M,5,E,DBA,N,5,,0,,S,,,13.0,Bachelors (4 years),No,N,40.0,zero
9657,Low,Canada,M,5,E,DBA,N,1,,3,,SG,,,120.0,Bachelors (4 years),Yes,N,37.0,zero
9658,Very Low,Netherlands,M,5,E,M,Y,5,,0,,PB,,,20.0,Bachelors (4 years),No,YesValid,50.0,zero
9659,Mid,USA,M,10,E,D,N,4,,0,,PB,,,3.0,Masters,No,YesExpired,45.0,zero
9660,High,USA,M,24,E,DBA,N,0,,1,,PB,,,130.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9661,High,USA,M,4,E,DBA,N,4,,0,,PB,,,40.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9662,Mid,USA,M,15,E,DBA,Y,10,,1,,PB,,,2.0,Bachelors (4 years),No,N,42.0,zero
9663,Low,USA,M,7,E,DBA,N,5,,0,,SG,,,5.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9664,High,USA,M,10,E,M,Y,10,,0,,PB,,,3.0,Bachelors (4 years),No,N,40.0,zero
9665,Very High,USA,M,20,E,,Y,20,,0,,PB,,,20.0,Bachelors (4 years),No,N,55.0,one
9666,Mid,USA,M,17,E,DBA,N,10,,0,,SG,,,10.0,Masters,Yes,YesExpired,40.0,zero
9667,High,Ireland,M,6,E,E,N,4,,1,,PB,,,20.0,Masters,Yes,YesExpired,40.0,three
9668,High,USA,M,14,E,DBA,N,14,,2,,SG,,,18.0,Bachelors (4 years),No,N,40.0,one
9669,Very High,USA,O,18,E,DBA,N,19,,1,,FG,,,12.0,Associates (2 years),Yes,YesExpired,41.0,zero
9670,Very Low,UK,M,2,E,AN,N,2,,1,,PB,,,25.0,Bachelors (4 years),No,N,38.0,zero
9671,High,USA,M,16,E,DBA,N,28,,2,,PB,,,30.0,Bachelors (4 years),No,N,40.0,zero
9672,Very Low,USA,M,3,E,DBA,N,3,,5,,PB,,,100.0,Bachelors (4 years),Yes,N,45.0,two
9673,Low,USA,M,1,E,AN,N,1,,0,,S,,,2.0,Associates (2 years),No,N,40.0,zero
9674,Low,USA,M,3,E,DBA,N,0,,1,,PB,,,65.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
9675,Mid,USA,M,22,E,DBA,Y,1,,0,,PB,,,78.0,Masters,No,YesExpired,42.0,zero
9676,Low,USA,M,7,E,DBA,N,7,,0,,LG,,,8.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
9677,High,USA,M,21,E,DT,N,4,,0,,PB,,,4.0,Bachelors (4 years),No,N,40.0,zero
9678,Low,UK,M,10,E,AN,N,10,,1,,PB,,,5.0,None (no degree completed),,N,42.0,five
9679,Low,USA,M,2,E,DBA,N,2,,0,,PB,,,1.0,Bachelors (4 years),Yes,N,45.0,zero
9680,Mid,USA,M,4,E,M,Y,4,,0,,LG,,,4.0,Associates (2 years),Yes,YesValid,40.0,zero
9681,Mid,USA,M,2,E,M,N,2,,4,,PB,,,3.0,Masters,Yes,N,40.0,five
9682,High,USA,M,10,E,DBA,Y,5,,0,,SG,,,30.0,None (no degree completed),,N,42.0,zero
9683,Mid,USA,M,5,E,DBA,N,5,,0,,PB,,,15.0,Masters,No,N,40.0,zero
9684,High,USA,M,15,E,DBA,N,5,,0,,FG,,,40.0,Bachelors (4 years),Yes,N,50.0,zero
9685,Mid,USA,,18,E,DBA,N,4,,0,,PB,,,15.0,Bachelors (4 years),Yes,N,45.0,one
9686,Very High,USA,M,20,EC,A,N,20,,4,,PB,,,3.0,Associates (2 years),No,YesExpired,50.0,three
9687,High,USA,M,8,E,DBA,N,8,,6,,PB,,,50.0,None (no degree completed),,N,40.0,zero
9688,Low,USA,M,10,E,DBA,N,4,,3,,PB,,,80.0,Bachelors (4 years),No,YesValid,50.0,zero
9689,Low,Canada,M,21,E,DBA,N,19,,6,,PB,,,500.0,Associates (2 years),Yes,YesValid,40.0,zero
9690,Low,Canada,M,20,E,A,Y,2,,0,,PB,,,10.0,Bachelors (4 years),Yes,N,40.0,zero
9691,High,USA,M,15,E,DBA,N,10,,0,,FG,,,10.0,Bachelors (4 years),No,N,40.0,five
9692,Low,UK,P,3,E,DA,N,3,,2,,PB,,,2.0,Bachelors (4 years),Yes,N,40.0,three
9693,Very High,USA,M,20,E,A,N,2,,0,,PB,,,7.0,None (no degree completed),,YesExpired,40.0,five
9694,Very Low,UK,M,4,E,DBA,N,1,,1,,FG,,,20.0,Bachelors (4 years),Yes,N,35.0,zero
9695,High,USA,M,6,E,DBA,N,6,,2,,PB,,,912.0,None (no degree completed),,YesValid,45.0,zero
9696,Very High,USA,M,15,E,,Y,5,,2,,PB,,,2.0,Masters,Yes,YesExpired,40.0,one
9697,Low,UK,M,16,E,DBA,N,6,,1,,PB,,,220.0,Bachelors (4 years),Yes,N,50.0,two
9698,High,USA,M,10,E,DBA,N,2,,3,,PB,,,15.0,None (no degree completed),,YesExpired,40.0,zero
9699,Very Low,USA,M,3,E,DT,Y,1,,0,,PB,,,1.0,Bachelors (4 years),No,N,35.0,zero
9700,High,USA,M,11,E,DBA,N,36,,2,,PB,,,600.0,Masters,No,YesExpired,40.0,five
9701,Mid,USA,M,10,E,DT,N,4,,6,,LG,,,15.0,Masters,Yes,N,40.0,one
9702,Mid,USA,M,10,E,DBA,N,10,,0,,PB,,,40.0,Bachelors (4 years),Yes,N,40.0,five
9703,Low,USA,M,15,E,DBA,N,3,,0,,PB,,,2.0,None (no degree completed),,N,50.0,zero
9704,Very Low,USA,M,5,E,AN,N,5,,1,,PB,,,10.0,Associates (2 years),Yes,N,40.0,zero
9705,High,USA,M,15,E,AN,N,15,,4,,LG,,,12.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9706,High,USA,M,20,E,DBA,Y,5,,0,,PB,,,130.0,Masters,No,N,45.0,five
9707,Mid,USA,M,2,E,DBA,N,2,,1,,PB,,,150.0,None (no degree completed),,N,40.0,zero
9708,High,USA,M,20,E,DBA,N,20,,0,,SG,,,30.0,Masters,Yes,YesExpired,40.0,zero
9709,Low,USA,O,3,E,AN,N,15,,3,,SG,,,5.0,Bachelors (4 years),No,YesExpired,40.0,zero
9710,Very Low,USA,M,2,E,DBA,Y,1,,0,,LG,,,50.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9711,High,USA,M,10,E,DBA,N,10,,1,,SG,,,20.0,Bachelors (4 years),Yes,YesExpired,50.0,two
9712,Very Low,USA,M,2,E,DBA,N,2,,2,,LG,,,18.0,Bachelors (4 years),Yes,N,40.0,zero
9713,Very High,USA,M,15,E,DBA,Y,15,,1,,PB,,,50.0,Bachelors (4 years),No,YesValid,50.0,zero
9714,Mid,USA,M,8,E,E,N,6,,1,,PB,,,12.0,Bachelors (4 years),Yes,YesExpired,45.0,five
9715,High,USA,M,3,E,A,Y,3,,0,,PB,,,5.0,Masters,No,N,50.0,zero
9716,Mid,USA,M,9,E,D,N,1,,1,,PB,,,12.0,None (no degree completed),,N,40.0,five
9717,Low,USA,M,7,E,DBA,N,7,,3,,PB,,,60.0,Bachelors (4 years),No,N,45.0,zero
9718,Very High,USA,M,17,E,D,N,1,,0,,PB,,,2.0,Bachelors (4 years),Yes,YesValid,40.0,five
9719,High,USA,M,18,E,DBA,N,10,,2,,PB,,,150.0,Bachelors (4 years),No,YesExpired,40.0,zero
9720,High,USA,O,20,E,DBA,N,20,,0,,PB,,,3.0,None (no degree completed),,YesExpired,45.0,zero
9721,Low,Canada,M,23,E,A,N,28,,0,,PB,,,70.0,None (no degree completed),No,YesValid,65.0,zero
9722,Very Low,Italy,,5,E,M,N,1,,0,,PB,,,2.0,Masters,Yes,N,47.0,zero
9723,Very High,USA,M,20,I,,N,20,,0,,PB,,,10.0,Masters,Yes,YesExpired,60.0,five
9724,Very High,USA,M,15,E,DBA,Y,8,,5,,PB,,,200.0,Associates (2 years),No,YesValid,60.0,one
9725,Very Low,Canada,M,7,E,DT,Y,7,,1,,PB,,,11.0,Associates (2 years),Yes,N,50.0,zero
9726,Mid,USA,M,17,E,DBA,N,1,,0,,PB,,,21.0,Masters,No,YesValid,55.0,zero
9727,Mid,USA,M,10,E,DA,N,17,,2,,PB,,,3.0,Bachelors (4 years),Yes,N,40.0,zero
9728,Mid,UK,M,10,E,DBA,N,3,,4,,PB,,,50.0,Bachelors (4 years),No,YesExpired,38.0,zero
9729,Very Low,USA,M,8,E,DA,N,2,,0,,SG,,,20.0,Associates (2 years),Yes,N,50.0,zero
9730,Very Low,Austria,M,2,E,M,Y,2,,2,,PB,,,10.0,None (no degree completed),No,YesValid,45.0,one
9731,Very High,USA,M,15,E,DT,N,7,,0,,PB,,,10.0,Masters,Yes,YesExpired,45.0,five
9732,Low,USA,M,4,E,DT,N,30,,3,,SG,,,24.0,None (no degree completed),,YesValid,40.0,zero
9733,Mid,USA,M,15,E,DBA,N,3,,0,,PB,,,300.0,None (no degree completed),,YesValid,45.0,one
9734,Low,Ireland,M,6,E,E,N,9,,1,,PB,,,10.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
9735,Mid,USA,M,6,E,DBA,N,2,,1,,PB,,,300.0,Associates (2 years),Yes,N,50.0,zero
9736,Very Low,USA,M,7,E,M,Y,3,,0,,PB,,,5.0,Associates (2 years),,N,42.0,zero
9737,Very Low,New-Zealand,M,12,E,DT,N,8,,4,,PB,,,8.0,None (no degree completed),,YesExpired,40.0,zero
9738,High,USA,M,7,E,A,N,2,,1,,PB,,,50.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9739,Mid,USA,M,5,E,A,N,1,,0,,PB,,,25.0,Associates (2 years),No,N,50.0,zero
9740,High,USA,M,16,E,DBA,Y,4,,0,,PB,,,45.0,Bachelors (4 years),Yes,N,45.0,zero
9741,High,USA,M,6,E,E,N,3,,6,,PB,,,1961.0,Bachelors (4 years),Yes,YesValid,40.0,five
9742,High,USA,M,4,E,DBA,Y,1,,0,,PB,,,8.0,None (no degree completed),,N,40.0,zero
9743,Mid,USA,M,15,E,DT,N,11,,0,,PB,,,1.0,None (no degree completed),,N,40.0,zero
9744,High,USA,M,20,E,E,N,30,,0,,PB,,,12.0,None (no degree completed),,YesValid,40.0,five
9745,Low,UK,M,9,E,DBA,N,1,,6,,PB,,,2000.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9746,Very High,USA,M,12,EC,DBA,Y,1,,6,,PB,,,30.0,None (no degree completed),No,N,50.0,five
9747,Low,USA,M,24,E,DBA,N,17,,0,,LG,,,32.0,Bachelors (4 years),No,YesExpired,47.0,zero
9748,Very Low,Canada,M,6,E,DBA,N,13,,4,,SG,,,500.0,Associates (2 years),Yes,N,35.0,zero
9749,Very Low,UK,M,7,E,DBA,N,1,,6,,PB,,,2000.0,Bachelors (4 years),Yes,YesValid,40.0,zero
9750,Mid,USA,M,8,E,DBA,N,6,,2,,PB,,,500.0,Masters,Yes,YesExpired,40.0,one
9751,Very Low,Denmark,M,8,E,DBA,N,0,,3,,PB,,,5000.0,Associates (2 years),Yes,N,37.0,zero
9752,Mid,USA,M,15,E,A,N,2,,0,,PB,,,20.0,Associates (2 years),Yes,YesValid,50.0,zero
9753,Mid,USA,M,14,E,D,Y,10,,6,,PB,,,18.0,Bachelors (4 years),Yes,YesValid,48.0,two
9754,Very High,India,M,7,E,DBA,N,1,,1,,SG,,,150.0,Masters,Yes,YesExpired,40.0,two
9755,Very Low,UK,M,1,E,,N,1,,6,,PB,,,30.0,None (no degree completed),,YesValid,38.0,zero
9756,Low,USA,M,4,E,DBA,N,4,,0,,SG,,,1450.0,Masters,Yes,YesExpired,60.0,zero
9757,High,USA,M,15,E,DBA,N,7,,2,,PB,,,1992.0,Associates (2 years),Yes,N,44.0,zero
9758,Very High,USA,M,7,EC,DBA,N,1,,0,,PB,,,191.0,Bachelors (4 years),Yes,YesValid,45.0,one
9759,Low,USA,M,13,E,DBA,N,1,,0,,LG,,,12.0,Masters,Yes,N,42.0,zero
9760,Very High,USA,E,1,E,A,N,1,,0,,PB,,,5.0,Bachelors (4 years),Yes,N,40.0,four
9761,Very Low,Canada,M,5,E,AN,N,2,,0,,SG,,,10.0,None (no degree completed),,N,40.0,zero
9762,Mid,USA,M,14,E,M,Y,22,,1,,SG,,,65.0,Bachelors (4 years),Yes,N,65.0,five
9763,Very Low,Canada,M,5,E,DBA,N,2,,1,,SG,,,40.0,Bachelors (4 years),No,YesValid,40.0,zero
9764,Low,USA,M,12,E,DA,N,10,,4,,SG,,,4.0,Associates (2 years),,YesExpired,38.0,zero
9765,High,USA,M,15,E,DT,N,15,,1,,PB,,,7.0,Bachelors (4 years),No,N,45.0,zero
9766,Mid,USA,M,17,E,DBA,N,3,,5,,PB,,,40.0,Bachelors (4 years),Yes,N,45.0,zero
9767,Very High,USA,M,20,I,E,N,20,,3,,PB,,,400.0,Bachelors (4 years),Yes,YesValid,43.0,zero
